Year,Country of Origin Code,Country of Asylum Code,Country of Origin Name,Country of Asylum Name,Procedure Type,Procedure Name,Application Type Code,Application Type,Application Data Type,Application Data,Application Average Persons Per Case,Number of Applications
2000.0,TUR,ALB,Türkiye,Albania,G,Government,V,Various,C,Cases,0.0,34.0
2000.0,TUR,AUS,Türkiye,Australia,G,Government,V,Various,C,Cases,0.0,75.0
2000.0,TUR,AUS,Türkiye,Australia,G,Government,V,Various,C,Cases,0.0,111.0
2000.0,TUR,AUT,Türkiye,Austria,G,Government,V,Various,P,Persons,0.0,592.0
2000.0,TUR,AZE,Türkiye,Azerbaijan,U,UNHCR,V,Various,P,Persons,0.0,5.0
2000.0,TUR,BEL,Türkiye,Belgium,G,Government,V,Various,P,Persons,0.0,838.0
2000.0,TUR,BIH,Türkiye,Bosnia and Herzegovina,U,UNHCR,V,Various,P,Persons,0.0,5.0
2000.0,TUR,BGR,Türkiye,Bulgaria,G,Government,V,Various,P,Persons,0.0,39.0
2000.0,TUR,CAN,Türkiye,Canada,G,Government,V,Various,P,Persons,0.0,869.0
2000.0,TUR,CZE,Türkiye,Czechia,G,Government,V,Various,C,Cases,0.0,90.0
2000.0,TUR,DNK,Türkiye,Denmark,G,Government,V,Various,P,Persons,0.0,68.0
2000.0,TUR,ECU,Türkiye,Ecuador,U,UNHCR,V,Various,P,Persons,0.0,25.0
2000.0,TUR,FIN,Türkiye,Finland,G,Government,V,Various,P,Persons,0.0,76.0
2000.0,TUR,FRA,Türkiye,France,G,Government,V,Various,P,Persons,0.0,1850.0
2000.0,TUR,FRA,Türkiye,France,G,Government,V,Various,P,Persons,0.0,3735.0
2000.0,TUR,GBR,Türkiye,United Kingdom of Great Britain and Northern Ireland,G,Government,V,Various,C,Cases,0.0,3990.0
2000.0,TUR,DEU,Türkiye,Germany,G,Government,V,Various,P,Persons,0.0,8968.0
2000.0,TUR,DEU,Türkiye,Germany,G,Government,V,Various,P,Persons,0.0,5387.0
2000.0,TUR,GRC,Türkiye,Greece,G,Government,V,Various,P,Persons,0.0,591.0
